molecule,bond_index,ysi_contribution
Brc1ccccc1,0,8.389838
Brc1ccccc1,1,12.73837
Brc1ccccc1,2,9.506836
Brc1ccccc1,3,8.663676
Brc1ccccc1,4,8.663676
Brc1ccccc1,5,9.506836
Brc1ccccc1,6,12.73837
C#CCCC,0,10.250635
C#CCCC,1,5.425958
C#CCCC,2,3.3253925
C#CCCC,3,4.007921
C#CCCCCCC,0,10.250635
C#CCCCCCC,1,5.430482
C#CCCCCCC,2,3.6695738
C#CCCCCCC,3,2.8835726
C#CCCCCCC,4,2.8477943
C#CCCCCCC,5,2.7646933
C#CCCCCCC,6,3.992716
C#CCCc1ccccc1,0,10.250635
C#CCCc1ccccc1,1,8.071651
C#CCCc1ccccc1,2,12.199691
C#CCCc1ccccc1,3,24.179502
C#CCCc1ccccc1,4,23.959892
C#CCCc1ccccc1,5,9.776669
C#CCCc1ccccc1,6,8.663676
C#CCCc1ccccc1,7,8.663676
C#CCCc1ccccc1,8,9.776669
C#CCCc1ccccc1,9,23.959892
C#CCN,0,10.112894
C#CCN,1,2.3150415
C#CCN,2,0.047535717
C#CCc1ccccc1,0,23.809624
C#CCc1ccccc1,1,29.217773
C#CCc1ccccc1,2,46.254944
C#CCc1ccccc1,3,42.04169
C#CCc1ccccc1,4,9.776669
C#CCc1ccccc1,5,8.663676
C#CCc1ccccc1,6,8.663676
C#CCc1ccccc1,7,9.776669
C#CCc1ccccc1,8,42.04169
C#Cc1cc(C)ccc1C,0,25.88078
C#Cc1cc(C)ccc1C,1,40.321976
C#Cc1cc(C)ccc1C,2,37.686638
C#Cc1cc(C)ccc1C,3,20.752968
C#Cc1cc(C)ccc1C,4,13.28457
C#Cc1cc(C)ccc1C,5,14.268204
C#Cc1cc(C)ccc1C,6,9.779838
C#Cc1cc(C)ccc1C,7,30.576958
C#Cc1cc(C)ccc1C,8,26.180655
C#Cc1cc(C)ccc1C,9,51.228905
C#Cc1ccc(C)cc1,0,16.167189
C#Cc1ccc(C)cc1,1,21.029812
C#Cc1ccc(C)cc1,2,20.710869
C#Cc1ccc(C)cc1,3,9.927458
C#Cc1ccc(C)cc1,4,14.122793
C#Cc1ccc(C)cc1,5,12.9876
C#Cc1ccc(C)cc1,6,14.122793
