molecule,bond_index,ysi_contribution
Brc1ccccc1,0,14.940544
Brc1ccccc1,1,10.194797
Brc1ccccc1,2,7.9203243
Brc1ccccc1,3,7.597496
Brc1ccccc1,4,7.597496
Brc1ccccc1,5,7.9203243
Brc1ccccc1,6,10.194797
C#CCCC,0,30.906734
C#CCCC,1,19.17099
C#CCCC,2,7.607612
C#CCCC,3,3.702796
C#CCCCCCC,0,30.906734
C#CCCCCCC,1,19.31237
C#CCCCCCC,2,7.1889067
C#CCCCCCC,3,2.8460364
C#CCCCCCC,4,2.861946
C#CCCCCCC,5,3.2924888
C#CCCCCCC,6,3.6986167
C#CCCc1ccccc1,0,30.906734
C#CCCc1ccccc1,1,23.722832
C#CCCc1ccccc1,2,20.952913
C#CCCc1ccccc1,3,26.392235
C#CCCc1ccccc1,4,22.26046
C#CCCc1ccccc1,5,8.201498
C#CCCc1ccccc1,6,7.597496
C#CCCc1ccccc1,7,7.597496
C#CCCc1ccccc1,8,8.201498
C#CCCc1ccccc1,9,22.26046
C#CCN,0,32.490616
C#CCN,1,21.069153
C#CCN,2,6.246166
C#CCc1ccccc1,0,43.108902
C#CCc1ccccc1,1,46.035034
C#CCc1ccccc1,2,46.18264
C#CCc1ccccc1,3,29.625439
C#CCc1ccccc1,4,8.201498
C#CCc1ccccc1,5,7.597496
C#CCc1ccccc1,6,7.597496
C#CCc1ccccc1,7,8.201498
C#CCc1ccccc1,8,29.625439
C#Cc1cc(C)ccc1C,0,40.841454
C#Cc1cc(C)ccc1C,1,43.23349
C#Cc1cc(C)ccc1C,2,35.844505
C#Cc1cc(C)ccc1C,3,20.27727
C#Cc1cc(C)ccc1C,4,10.79409
C#Cc1cc(C)ccc1C,5,14.179037
C#Cc1cc(C)ccc1C,6,10.411882
C#Cc1cc(C)ccc1C,7,27.298534
C#Cc1cc(C)ccc1C,8,24.925032
C#Cc1cc(C)ccc1C,9,44.310276
C#Cc1ccc(C)cc1,0,41.310932
C#Cc1ccc(C)cc1,1,32.815594
C#Cc1ccc(C)cc1,2,18.390625
C#Cc1ccc(C)cc1,3,12.037006
C#Cc1ccc(C)cc1,4,11.780259
C#Cc1ccc(C)cc1,5,8.124013
C#Cc1ccc(C)cc1,6,11.780259
C#Cc1ccc(C)cc1,7,12.037006
C#Cc1ccc(C)cc1,8,18.390625
C#Cc1ccc(CC)cc1,0,41.310932
C#Cc1ccc(CC)cc1,1,32.815594
C#Cc1ccc(CC)cc1,2,18.390625
C#Cc1ccc(CC)cc1,3,11.587271
C#Cc1ccc(CC)cc1,4,18.545097
C#Cc1ccc(CC)cc1,5,20.1516
C#Cc1ccc(CC)cc1,6,10.751511
C#Cc1ccc(CC)cc1,7,18.545097
C#Cc1ccc(CC)cc1,8,11.587271
C#Cc1ccc(CC)cc1,9,18.390625
C#Cc1cccc(C)c1,0,41.310932
C#Cc1cccc(C)c1,1,32.21219
