Property,Desc. Rank,Desc. Imp.,Desc. Name
CN,1,0.21474827507183536,SpMaxA_EA(ed)
CN,2,0.1120949091520491,SpMin2_Bh(s)
CN,3,0.10076353176504703,SssCH2
CN,4,0.04410734677062774,PHI
CN,5,0.04165098461530483,CIC1
CN,6,0.033621106273787706,X5Av
CN,7,0.029186183190227026,ChiA_B(s)
CN,8,0.02812451941323822,S3K
CN,9,0.026892147121701238,GATS2e
CN,10,0.021946104858705583,CIC4
YSI,1,0.15494704749997268,SM6_B(p)
YSI,2,0.08899184368529126,SpMax1_Bh(p)
YSI,3,0.07565059232865456,piPC04
YSI,4,0.062142269676598014,piID
YSI,5,0.06056388108168523,nCsp2
YSI,6,0.05244955879854252,piPC05
YSI,7,0.03978470963845709,SM6_B(v)
YSI,8,0.03857968825509573,SM03_AEA(bo)
YSI,9,0.03840912342804152,nCar
YSI,10,0.03511887225672978,SpMax1_Bh(v)
KV,1,0.18500314728132425,SsOH
KV,2,0.10528600371279,Psi_i_t
KV,3,0.0750165384945262,SpAbs_B(s)
KV,4,0.051778188619090816,SpPos_B(s)
KV,5,0.020251793019416313,ATSC4e
KV,6,0.018852499997950828,SpAD_B(s)
KV,7,0.015483470548615739,ATS3v
KV,8,0.014994839061453462,JGI5
KV,9,0.012324270751222827,J_Dz(v)
KV,10,0.010518656064753272,SpMin2_Bh(p)
CP,1,0.08000850215446922,VE2sign_Dz(m)
CP,2,0.06442611381444807,GATS3s
CP,3,0.057030562908526684,VE2sign_Dz(Z)
CP,4,0.0479653420770543,VE2sign_Dz(e)
CP,5,0.047815306470026506,VE2sign_Dz(i)
CP,6,0.044996318360464894,GATS2e
CP,7,0.041274696966982855,VE2sign_Dz(v)
CP,8,0.040789795723057,MATS2s
CP,9,0.037261042892670106,X1Av
CP,10,0.028157238743076612,MATS5v
LHV,1,0.5498969721563053,O%
LHV,2,0.3190434061771708,Me
LHV,3,0.012987797625215663,Eta_D_epsiC
LHV,4,0.011994008051865533,AAC
LHV,5,0.009678377653693247,IC0
LHV,6,0.006484448804009149,Eta_epsi_4
LHV,7,0.004712118074755021,Eta_epsi_2
LHV,8,0.0040509683555870245,P_VSA_ppp_cyc
LHV,9,0.00401987923515179,SAacc
LHV,10,0.0030519688965319237,P_VSA_m_3
FP,1,0.5170848490847954,SpAD_B(s)
FP,2,0.04708680095098373,SpAbs_B(s)
FP,3,0.04160368780189931,GMTIV
FP,4,0.02088672865974907,ATSC1e
FP,5,0.01905092655476435,HyWi_B(s)
FP,6,0.011734616969562418,H_Dz(i)
FP,7,0.010365860237464776,ATSC1s
FP,8,0.009955715640133828,VE2_Dz(p)
FP,9,0.009592239217905875,ATS7i
FP,10,0.008481724744328567,SpPos_B(s)
