pred,actual,var
17.572245,5.6,2.1951153
20.965193,26.0,1.4641286
52.973022,7.0,3.1428885
63.993885,75.2,1.5822471
9.527727,12.0,1.131449
22.194836,24.4,0.8808702
11.069574,12.1,0.8568156
31.173544,31.3,2.7544067
26.333786,21.1,2.408099
39.523216,19.5,1.077427
38.104866,29.0,3.6865702
21.357649,20.6,1.1123489
9.70421,13.4,0.8741067
37.18748,51.0,1.1170259
14.31842,19.8,0.99452454
5.0430574,8.9,0.7094128
16.746233,21.0,1.5116186
3.4472256,1.0,0.76755536
30.228306,30.0,0.88492906
27.830036,14.6,1.2750082
12.084498,9.8,1.1906357
8.860029,-1.0,0.9576331
4.883197,-3.0,0.6110576
18.857637,20.3,0.81125313
28.505518,32.0,0.92797464
38.4061,28.1,2.0036762
20.70698,6.0,1.3690901
6.6044645,11.0,1.1891176
10.689701,7.6,1.2690195
18.130383,5.0,1.888511
9.371836,1.0,0.9283674
27.530756,8.1,1.7767978
16.192667,16.0,0.47413966
11.242039,7.5,1.1463541
12.829656,12.0,0.86033785
65.81144,81.0,2.9086921
67.10507,73.0,0.8901298
39.275528,42.2,0.7038899
59.45392,73.0,0.90642816
37.64219,36.0,0.8628967
25.594753,25.3,0.5043862
33.462273,34.2,0.96129245
14.03696,16.3,1.07018
24.282469,28.6,1.2555597
13.532232,12.6,0.9927598
83.14641,23.6,1.3961848
6.9770536,7.0,0.57773215
11.622602,15.0,1.9569659
11.8134775,24.0,0.7487599
9.365598,8.0,1.1099312
32.926903,24.4,1.035613
9.855644,16.3,0.8127465
30.662006,18.0,0.40410063
93.50932,99.0,1.6765043
16.379032,27.8,1.1743827
44.19327,15.5,1.8593624
42.46251,49.0,2.3086917
9.163874,7.0,1.304125
87.190346,84.0,1.1021618
77.57709,69.4,2.7369623
48.226715,51.0,0.5751467
45.095924,47.0,2.1325033
48.797756,52.7,0.79511017
40.521866,65.1,1.0516788
82.87846,89.0,0.74023515
31.576832,33.6,1.0984962
35.30107,36.6,0.7265283
45.60719,40.0,1.1096249
91.84246,76.8,1.017219
40.2616,41.0,1.6021086
41.722054,38.3,2.550351
59.138847,66.5,0.7598728
89.08711,109.0,1.9593859
99.17604,97.0,1.5771523
74.84863,86.6,0.94366974
61.7041,62.0,0.8822492
65.36949,80.7,3.0109594
123.25342,123.0,1.1805093
71.09859,85.9,0.59516805
91.09554,120.0,5.11754
