pred,actual,var
47.491093,5.6,2.9321005
38.013615,26.0,2.2593894
22.053638,75.2,2.5722058
66.61545,12.0,4.244664
19.221867,24.4,2.847083
30.67445,12.1,4.3998256
56.91466,31.3,6.22304
34.955433,21.1,3.171392
21.169704,19.5,3.3178604
113.94368,29.0,11.042868
35.53232,20.6,2.5379496
17.209965,13.4,2.7900352
45.653038,51.0,4.0247464
49.950447,19.8,3.5502913
33.542904,8.9,3.2187254
51.015385,21.0,6.049964
31.480597,1.0,4.0461597
78.55237,30.0,3.137916
49.982777,14.6,2.6985044
53.740234,9.8,4.5902658
32.284355,-1.0,1.9492669
51.61564,-3.0,5.6785088
41.206142,20.3,2.4550333
16.988195,32.0,2.344664
61.953575,28.1,3.8018527
44.075066,6.0,3.172566
25.080257,11.0,3.1284547
39.098087,7.6,2.41496
113.68498,5.0,9.623547
21.329046,1.0,1.9248581
36.419453,8.1,3.8705828
13.806244,16.0,1.68511
16.270863,7.5,1.7670281
44.58984,12.0,3.4803529
42.3967,81.0,4.691195
93.419685,73.0,1.9190207
66.621475,42.2,3.0924995
41.39683,73.0,1.4761032
49.094635,36.0,2.9651663
54.640953,25.3,2.0137157
40.988316,34.2,3.3151116
27.336895,16.3,2.6216908
25.155056,28.6,1.1847221
75.72672,12.6,3.7618842
60.71102,23.6,2.8465965
58.244457,7.0,4.2525144
53.134308,15.0,4.1546726
26.057627,24.0,2.3211937
27.292822,8.0,1.9642576
74.36247,24.4,1.8264076
16.44833,16.3,3.0737214
20.414228,18.0,1.2377237
32.991566,99.0,4.2825413
66.19066,27.8,4.319842
35.338234,15.5,3.4304156
84.16684,49.0,6.1025734
84.85469,7.0,5.3149543
33.794624,84.0,2.9416173
24.551006,69.4,1.4142215
29.551016,51.0,2.2567694
37.79275,47.0,3.9424424
67.94073,52.7,1.7632262
71.4342,65.1,5.119277
82.90929,89.0,2.6041665
39.21643,33.6,2.6817074
84.70422,36.6,1.7335184
66.694626,40.0,3.641388
30.446838,76.8,1.2106781
71.48963,41.0,3.08896
68.14613,38.3,3.8384001
63.889446,66.5,2.7688642
70.82637,109.0,2.6936677
64.17317,97.0,2.2202046
79.68601,86.6,3.5340927
97.430664,62.0,3.6359751
104.87297,80.7,11.73235
45.73816,123.0,3.3064804
131.55354,85.9,1.6631607
74.962776,120.0,3.4378443
56.734436,86.0,1.8536137
49.345104,77.0,3.1814096
25.407417,110.0,2.7564337
48.66546,67.0,8.659602
32.548264,9.0,2.5202112
66.6039,11.5,3.1730328
12.075098,27.8,1.0043968
36.439644,41.1,2.5048208
49.143116,89.0,5.240786
68.535324,67.0,2.376841
71.0596,75.8,2.3935776
48.14187,102.5,2.4811585
34.78656,68.0,3.0040941
43.2708,19.0,2.9949627
111.217125,21.0,5.1355276
22.779125,20.7,1.8989298
62.34718,13.7,3.8270965
36.723244,38.2,4.3015337
27.226099,102.0,1.7790534
27.109013,52.8,1.1398675
101.83879,83.0,3.9306517
67.05408,115.4,2.794106
30.967854,51.0,3.8039463
68.12159,22.3,3.137795
118.86436,48.0,14.151217
55.993584,57.3,3.3983152
74.505875,12.9,3.1498556
38.096523,37.4,2.3803928
44.648857,22.5,2.9265754
66.68911,32.0,4.464524
38.827423,44.0,3.5852044
30.648502,41.0,3.3023477
35.00228,18.0,2.6333485
59.605156,18.6,2.8167813
65.83592,18.0,2.4968598
19.90417,25.8,2.9627244
43.978226,96.2,1.75283
30.521479,100.0,2.9155514
73.101494,17.0,2.7089033
65.659065,14.0,2.6547198
48.732647,22.0,2.9187682
47.758366,14.0,1.1659572
22.706675,14.4,2.7282834
58.074574,20.0,2.5579607
74.59231,42.0,2.571986
40.278496,21.0,2.124843
62.217396,39.6,1.7393965
34.634266,30.0,3.157717
20.050695,28.0,1.6440573
89.06446,23.5,3.8031187
54.58095,32.0,2.0232003
48.147186,36.0,1.3238188
59.749767,106.0,2.8170717
59.555756,12.0,3.238348
19.432709,34.1,1.4315102
9.051653,6.4,2.0240653
22.594435,47.0,2.9401186
110.224915,13.3,4.4610004
67.82153,7.8,2.3902538
35.1701,10.9,3.8484302
33.945087,31.0,1.6156589
33.98387,5.0,2.8441412
