Volume (mL),Reactor volume (ml),Carrier Gas,Flow Rate (SLM),Reaction Time (s),Temperature (C),HVF (C),Particle size (mm),Feed rate (g/min),Steam feeding rate (ml/min),Solid residence time(min),Moisture,Volatile Matter,Ash,C,H,N,O,HHV (MJ/kg),water,Oil,Char,Gas,basis,AA,Guiacols,Catechols,Phenols,Ketones,Furans,Aldehydes,Alcohols,Esters,Ethers,Aromatic Hydrocarbon,THBs,Sugars,Stilbenes,Acids,Oxygenated,Nitrogenated Compounds,Volatile compounds,Diethylethr-solubles,Water,Diethylether-insolubles,Water-insolubles,Others
-,-,N2,1,600,500,-,0.75,,-,-,1.93,81.59,0.52,46.632,6.434,0.197,46.737,-,-0.5,54.2,23,23.3,wet,39.98502,0,0,39.98502,2.27151,4.99947,0,0.81087,-,-,-,-,3.34551,,0,-,-,-,-,-,-,-,0.73569
-,-,N2,1,600,550,-,0.75,,-,-,1.93,81.59,0.52,46.632,6.434,0.197,46.737,-,-0.7,54.7,21.8,24.2,wet,42.2172,0,0,42.2172,2.808,3.132,0.6372,0.27,-,-,-,-,3.1644,,0.2106,-,-,-,-,-,-,-,1.0098
-,-,N2,1,600,600,-,0.75,,-,-,1.93,81.59,0.52,46.632,6.434,0.197,46.737,-,-0.3,55.6,19.4,25.3,wet,28.70623,0,0,28.70623,6.03876,0,8.40007,1.86914,-,-,-,-,4.28022,,0.85162,-,-,-,-,-,-,-,5.15396
-,-,N2,1,600,650,-,0.75,,-,-,1.93,81.59,0.52,46.632,6.434,0.197,46.737,-,-0.7,52.9,19.6,28.2,wet,39.36924,0,0,39.36924,4.83894,3.65922,0,0,-,-,-,-,4.3326,,5.36094,-,-,-,-,-,-,-,0
-,-,N2,1,600,700,-,0.75,,-,-,1.93,81.59,0.52,46.632,6.434,0.197,46.737,-,-0.3,51.8,19.6,28.9,wet,33.34625,0,0,33.34625,8.4563,1.442,0,0.83945,-,-,-,-,3.9552,,0.824,-,-,-,-,-,-,-,2.63165
-,-,N2,0.03,180,500,-,0.375,5,-,-,5.01,77.71,0.34,50.26,6.72,0.16,42.66,-,1.8,40.6,17.3,40.3,wet,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,N2,0.03,180,600,-,0.375,5,-,-,5.01,77.71,0.34,50.26,6.72,0.16,42.66,-,0.3,31.4,10.8,57.5,wet,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,N2,0.03,180,700,-,0.375,5,-,-,5.01,77.71,0.34,50.26,6.72,0.16,42.66,-,-1.23,25.75,5.38,70.1,wet,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,N2,0.03,180,800,-,0.375,5,-,-,5.01,77.71,0.34,50.26,6.72,0.16,42.66,-,3.3,21.59,3.41,71.7,wet,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,N2,0.03,180,800,-,1.05,5,-,-,5.01,77.71,0.34,50.26,6.72,0.16,42.66,-,1.8,34.7,10.2,53.3,wet,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
